,m,t,b5,share,pos,n
QQQ,-0.5676027973546188,-0.9342195089223708,-1.0091505211980942,-76.1783204932715,269.0,551.0
SPY,-0.45348484308793796,-0.9288346890938196,-0.8473440076450792,-85.06873533983445,259.0,524.0
IWM,-0.6656215373954386,-0.7937992633351698,-1.3127763652407585,-95.1839708911596,223.0,483.0
EFA,-0.3751309497411537,-0.7450788276718466,-0.7880900346659497,-107.84904542399389,239.0,470.0
POOLED,-0.8027010120288117,-1.6107459578150463,-1.2502451482680546,-54.53028691735551,312.0,636.0
