,A,rt,disp_d,disp_t,B_d,B_t,abs_d,abs_t,ord_d,ord_t,abs_m,disp_m,disp_std
QQQ,0.24750501441651845,0.010416890575198129,-1.3423868010511526,-1.4944680369632286,0.9750562009148043,0.6630535123912611,-0.17439200660451842,-0.16978193296055008,-0.7181516243796605,-1.1223077985645737,-0.05145971325086716,0.26216489514805447,0.2908793491631646
SPY,-0.03599557375304673,0.0346481009667481,-1.6231261689509715,-2.757829607445022,1.3267278138645868,1.2449016923496212,-0.7331162197896088,-1.2431740790438464,-0.45104754709248746,-0.8821492029124272,0.07247519294316773,0.2490321217695186,-0.13045906047671776
IWM,-1.0398397579517789,0.8745939649828941,-1.234705409877147,-1.2150154021742174,-1.8944425910044025,-1.2942336286791762,1.0635284433853294,1.0947490758178213,-0.5722786867870807,-0.6487465510798804,-0.5082107296195938,-0.07901515785782737,0.1008466824412002
EFA,-0.33479716803187565,2.3712881494086777,-0.15477441714701376,-0.270079057496654,-1.1307905094606667,-1.4813153570346032,-0.4444312271091227,-0.8940689131464217,-0.32628174895729944,-0.6342792592240052,-0.8090019657320546,-0.21072116437472538,-0.21920036340024893
