day,win,rule,n,risk
20260708,US  13:30-20:00,ORB OR15,2,15.775004985329097
20260708,US  13:30-20:00,ORB OR30,2,13.38774463721062
20260708,US  13:30-20:00,pullback OR15,1,16.964362020340143
20260708,US  13:30-20:00,pullback OR30,2,11.360140158960398
20260708,US* 13:30-18:30,ORB OR15,2,15.775004985329097
20260708,US* 13:30-18:30,ORB OR30,2,13.38774463721062
20260708,US* 13:30-18:30,pullback OR15,1,16.964362020340143
20260708,US* 13:30-18:30,pullback OR30,2,11.360140158960398
20260709,EU  07:00-16:00,ORB OR15,2,4.469033270876958
20260709,EU  07:00-16:00,ORB OR30,2,3.103846997856337
20260709,EU  07:00-16:00,pullback OR15,2,5.578906500565364
20260709,EU  07:00-16:00,pullback OR30,2,8.121461487820838
20260709,EU- 07:00-13:30,ORB OR15,2,4.469033270876958
20260709,EU- 07:00-13:30,ORB OR30,2,3.103846997856337
20260709,EU- 07:00-13:30,pullback OR15,2,5.578906500565364
20260709,EU- 07:00-13:30,pullback OR30,2,8.121461487820838
20260709,US  13:30-20:00,ORB OR15,2,12.032547018908222
20260709,US  13:30-20:00,ORB OR30,2,7.467461399875157
20260709,US  13:30-20:00,pullback OR15,1,4.146251115488878
20260709,US  13:30-20:00,pullback OR30,0,
20260709,US* 13:30-18:30,ORB OR15,2,12.032547018908222
20260709,US* 13:30-18:30,ORB OR30,2,7.467461399875157
20260709,US* 13:30-18:30,pullback OR15,0,
20260709,US* 13:30-18:30,pullback OR30,0,
20260710,EU  07:00-16:00,ORB OR15,2,2.923768145115911
20260710,EU  07:00-16:00,ORB OR30,2,4.376758594466
20260710,EU  07:00-16:00,pullback OR15,2,4.708537430942583
20260710,EU  07:00-16:00,pullback OR30,2,4.037531593191795
20260710,EU- 07:00-13:30,ORB OR15,2,2.923768145115911
20260710,EU- 07:00-13:30,ORB OR30,2,4.376758594466
20260710,EU- 07:00-13:30,pullback OR15,2,4.708537430942583
20260710,EU- 07:00-13:30,pullback OR30,2,4.037531593191795
20260710,US  13:30-20:00,ORB OR15,2,11.772001319499799
20260710,US  13:30-20:00,ORB OR30,2,10.167108775511913
20260710,US  13:30-20:00,pullback OR15,1,10.07087688175241
20260710,US  13:30-20:00,pullback OR30,2,13.036636458220013
20260710,US* 13:30-18:30,ORB OR15,2,11.772001319499799
20260710,US* 13:30-18:30,ORB OR30,2,10.167108775511913
20260710,US* 13:30-18:30,pullback OR15,1,10.07087688175241
20260710,US* 13:30-18:30,pullback OR30,2,13.036636458220013
20260713,EU  07:00-16:00,ORB OR15,2,3.82254605629772
20260713,EU  07:00-16:00,ORB OR30,2,4.2214754901133045
20260713,EU  07:00-16:00,pullback OR15,2,4.0546455930611565
20260713,EU  07:00-16:00,pullback OR30,2,8.694128771888227
20260713,EU- 07:00-13:30,ORB OR15,2,3.82254605629772
20260713,EU- 07:00-13:30,ORB OR30,2,4.2214754901133045
20260713,EU- 07:00-13:30,pullback OR15,2,4.0546455930611565
20260713,EU- 07:00-13:30,pullback OR30,2,8.694128771888227
20260713,US  13:30-20:00,ORB OR15,2,14.27357474591114
20260713,US  13:30-20:00,ORB OR30,2,10.071010298176311
20260713,US  13:30-20:00,pullback OR15,1,6.14609275089208
20260713,US  13:30-20:00,pullback OR30,0,
20260713,US* 13:30-18:30,ORB OR15,2,14.27357474591114
20260713,US* 13:30-18:30,ORB OR30,2,10.071010298176311
20260713,US* 13:30-18:30,pullback OR15,0,
20260713,US* 13:30-18:30,pullback OR30,0,
20260714,EU  07:00-16:00,ORB OR15,2,4.194157784920359
20260714,EU  07:00-16:00,ORB OR30,2,4.6282213951394775
20260714,EU  07:00-16:00,pullback OR15,2,4.417216489031545
20260714,EU  07:00-16:00,pullback OR30,2,8.384396323238462
20260714,EU- 07:00-13:30,ORB OR15,2,4.194157784920359
20260714,EU- 07:00-13:30,ORB OR30,2,4.6282213951394775
20260714,EU- 07:00-13:30,pullback OR15,2,4.417216489031545
20260714,EU- 07:00-13:30,pullback OR30,2,8.384396323238462
20260714,US  13:30-20:00,ORB OR15,2,13.342319191104842
20260714,US  13:30-20:00,ORB OR30,2,13.342319191104842
20260714,US  13:30-20:00,pullback OR15,2,14.324884947428899
20260714,US  13:30-20:00,pullback OR30,2,14.324884947428899
20260714,US* 13:30-18:30,ORB OR15,2,13.342319191104842
20260714,US* 13:30-18:30,ORB OR30,2,13.342319191104842
20260714,US* 13:30-18:30,pullback OR15,2,14.324884947428899
20260714,US* 13:30-18:30,pullback OR30,2,14.324884947428899
20260715,EU  07:00-16:00,ORB OR15,1,3.785544135529734
20260715,EU  07:00-16:00,ORB OR30,2,3.7459812430243162
20260715,EU  07:00-16:00,pullback OR15,2,6.286421460023359
20260715,EU  07:00-16:00,pullback OR30,2,8.391497726174808
20260715,EU- 07:00-13:30,ORB OR15,1,3.785544135529734
20260715,EU- 07:00-13:30,ORB OR30,2,3.7459812430243162
20260715,EU- 07:00-13:30,pullback OR15,2,6.286421460023359
