day,win,rule,n,risk
20260810,US  13:30-20:00,pullback OR30,0,
20260810,US* 13:30-18:30,ORB OR15,2,7.030713004409126
20260810,US* 13:30-18:30,ORB OR30,2,7.030713004409126
20260810,US* 13:30-18:30,pullback OR15,0,
20260810,US* 13:30-18:30,pullback OR30,0,
20260811,EU  07:00-16:00,ORB OR15,2,3.2066358672828987
20260811,EU  07:00-16:00,ORB OR30,2,2.79504409911814
20260811,EU  07:00-16:00,pullback OR15,2,5.10786784264309
20260811,EU  07:00-16:00,pullback OR30,2,5.10786784264309
20260811,EU- 07:00-13:30,ORB OR15,2,3.2066358672828987
20260811,EU- 07:00-13:30,ORB OR30,2,2.79504409911814
20260811,EU- 07:00-13:30,pullback OR15,1,3.441271174576883
20260811,EU- 07:00-13:30,pullback OR30,1,3.441271174576883
20260811,US  13:30-20:00,ORB OR15,2,8.487524765774417
20260811,US  13:30-20:00,ORB OR30,2,3.935239598374694
20260811,US  13:30-20:00,pullback OR15,2,4.278204999048722
20260811,US  13:30-20:00,pullback OR30,0,
20260811,US* 13:30-18:30,ORB OR15,2,8.487524765774417
20260811,US* 13:30-18:30,ORB OR30,2,3.935239598374694
20260811,US* 13:30-18:30,pullback OR15,1,4.932166963296282
20260811,US* 13:30-18:30,pullback OR30,0,
20260812,EU  07:00-16:00,ORB OR15,2,1.9349877723894833
20260812,EU  07:00-16:00,ORB OR30,2,28.096895755772778
20260812,EU  07:00-16:00,pullback OR15,2,2.6388106863430165
20260812,EU  07:00-16:00,pullback OR30,2,2.6388106863430165
20260812,EU- 07:00-13:30,ORB OR15,2,1.9349877723894833
20260812,EU- 07:00-13:30,ORB OR30,2,28.096895755772778
20260812,EU- 07:00-13:30,pullback OR15,2,2.6388106863430165
20260812,EU- 07:00-13:30,pullback OR30,2,2.6388106863430165
20260812,US  13:30-20:00,ORB OR15,2,8.407005838198135
20260812,US  13:30-20:00,ORB OR30,2,8.407005838198135
20260812,US  13:30-20:00,pullback OR15,0,
20260812,US  13:30-20:00,pullback OR30,0,
20260812,US* 13:30-18:30,ORB OR15,2,8.407005838198135
20260812,US* 13:30-18:30,ORB OR30,2,8.407005838198135
20260812,US* 13:30-18:30,pullback OR15,0,
20260812,US* 13:30-18:30,pullback OR30,0,
20260820,EU  07:00-16:00,ORB OR15,2,4.161599725716939
20260820,EU  07:00-16:00,ORB OR30,2,3.300677840353544
20260820,EU  07:00-16:00,pullback OR15,2,4.546335952517084
20260820,EU  07:00-16:00,pullback OR30,2,7.368563045897057
20260820,EU- 07:00-13:30,ORB OR15,2,4.161599725716939
20260820,EU- 07:00-13:30,ORB OR30,2,3.300677840353544
20260820,EU- 07:00-13:30,pullback OR15,2,4.546335952517084
20260820,EU- 07:00-13:30,pullback OR30,2,7.368563045897057
20260820,US  13:30-20:00,ORB OR15,2,13.94082920886978
20260820,US  13:30-20:00,ORB OR30,2,9.62611488299585
20260820,US  13:30-20:00,pullback OR15,2,5.537145729156906
20260820,US  13:30-20:00,pullback OR30,1,8.706096823381841
20260820,US* 13:30-18:30,ORB OR15,2,13.94082920886978
20260820,US* 13:30-18:30,ORB OR30,2,9.62611488299585
20260820,US* 13:30-18:30,pullback OR15,1,6.981062961606035
20260820,US* 13:30-18:30,pullback OR30,0,
