D,exit,armx,n,excess_R,se,t,conc,years,raw_R,cost_pct
10:00,flat,LONG,126,0.009176180791424984,0.02522198549495674,0.3638167500040711,-0.03714209243884698,3/6,0.016614203613742277,0.23499024962475268
10:00,flat,SHORT,74,-0.023099050493180062,0.03782398040699165,-0.610698563309066,-0.1010348917659833,3/6,-0.030252245598603678,0.22746109374441503
10:00,flat,BOTH,200,-0.0027656547838788882,0.021145757314791482,-0.13079005602435007,-0.054370895653317444,3/6,-0.0007263825948257252,0.23156764584778144
10:00,+0.5R,LONG,126,0.008412722215596111,0.025036107137337144,0.33602357464950894,-0.03714209243884698,3/6,0.015850745037913408,0.23499024962475268
10:00,+0.5R,SHORT,74,-0.017248267406920828,0.037962612917388575,-0.45434879428492525,-0.09583168644399159,3/6,-0.024401462512344433,0.22746109374441503
10:00,+0.5R,BOTH,200,-0.0010818439447351613,0.021081351012923535,-0.05131758131022802,-0.05180221993801795,2/6,0.0009574282443180037,0.23156764584778144
10:00,+1.0R,LONG,126,0.009176180791424984,0.02522198549495674,0.3638167500040711,-0.03714209243884698,3/6,0.016614203613742277,0.23499024962475268
10:00,+1.0R,SHORT,74,-0.023099050493180062,0.03782398040699165,-0.610698563309066,-0.1010348917659833,3/6,-0.030252245598603678,0.22746109374441503
10:00,+1.0R,BOTH,200,-0.0027656547838788882,0.021145757314791482,-0.13079005602435007,-0.054370895653317444,3/6,-0.0007263825948257252,0.23156764584778144
10:30,flat,LONG,132,0.0024766250427438515,0.019336415129398377,0.12808087880666574,-0.034234778690253605,3/6,0.012712962802267256,0.22562319727969757
10:30,flat,SHORT,76,0.004406892522674566,0.029820688187464254,0.14777970565169904,-0.05255754602834387,3/6,-0.0055290665816278865,0.22127291565309865
10:30,flat,BOTH,208,0.0031819150834877657,0.016367482158639975,0.19440467706928974,-0.03622399018819584,3/6,0.006047605911997869,0.22312743895436576
10:30,+0.5R,LONG,132,0.0024766250427438515,0.019336415129398377,0.12808087880666574,-0.034234778690253605,3/6,0.012712962802267256,0.22562319727969757
10:30,+0.5R,SHORT,76,0.008174182945579013,0.03032659149419364,0.26953846584256097,-0.05165869625170023,3/6,-0.0017617761587234422,0.22127291565309865
10:30,+0.5R,BOTH,208,0.004558425045702851,0.01649105784517654,0.2764179889791692,-0.03576447344381224,3/6,0.0074241158742129575,0.22312743895436576
10:30,+1.0R,LONG,132,0.0024766250427438515,0.019336415129398377,0.12808087880666574,-0.034234778690253605,3/6,0.012712962802267256,0.22562319727969757
10:30,+1.0R,SHORT,76,0.004406892522674566,0.029820688187464254,0.14777970565169904,-0.05255754602834387,3/6,-0.0055290665816278865,0.22127291565309865
10:30,+1.0R,BOTH,208,0.0031819150834877657,0.016367482158639975,0.19440467706928974,-0.03622399018819584,3/6,0.006047605911997869,0.22312743895436576
