day,px,or_h,rv_open_raw,eff_open,gap_raw,prior_range_raw,or_pos,vol_open_raw,eff_later,rv_later,n_later,or_ratio,rv_open,gap,prior_range,vol_ratio,year
2021-01-04,315.11,63.46989940020945,32.64302164608932,0.17985946610915496,,,0.4800000000000182,3978299.0,0.16987788870724277,100.58411931716317,210,,,,,,2021
2021-01-05,308.29,94.07051801874702,33.58931851810839,0.436766374831413,3.2447516142646657,320.8403414680592,0.7033895382917907,3529252.0,0.02768664260935689,61.35634422626741,210,,,,,,2021
2021-01-06,307.08,92.15839520646034,60.985989620727075,0.056267513007260204,102.49468187971401,105.74459113172632,0.42756183745582566,6889512.0,0.15245065773157607,60.538336337056336,210,,,,,,2021
2021-01-07,310.28,87.01817713033354,36.7400894912255,0.5305842429526629,16.08855138683313,192.13234336329222,0.9814814814814983,5366378.0,0.08790403369709855,43.55384502809658,210,,,,,,2021
2021-01-08,317.34,50.10398941198815,55.29776594450254,0.004329445647379905,93.51145038167932,149.8646383911299,0.06918238993711412,4202227.0,0.04037753839093417,70.50695796610363,210,,,,,,2021
2021-01-11,315.99,62.18551219975236,54.32160028457601,0.01643033335527795,19.897669130187463,86.18516417722361,0.6539440203562552,4924301.0,0.019879268413097353,55.574981408274304,210,,,,,,2021
2021-01-12,314.46,80.45538383260106,36.55015360733173,0.09465435834672574,55.34296828057304,93.19915187189446,0.09881422924901295,3124208.0,0.0043222278377830405,67.23854777531024,210,,,,,,2021
2021-01-13,314.19,61.10951971736898,35.625891865522206,0.020578510307254928,15.620019126554324,139.28639572600636,0.18229166666664742,2731204.0,0.07202304944716031,52.787736109122925,210,,,,,,2021
2021-01-14,316.47,35.70638607134943,26.61878958614236,0.06327868563106606,5.374644325008407,97.71157579808374,0.06194690265491176,2283336.0,0.07828340737363972,42.7829912520733,210,,,,,,2021
2021-01-15,314.13,39.15576353738956,33.16292157580336,0.029503604703200653,43.73870875725002,73.62467216481764,0.1382113821137858,2584803.0,0.01630729248929972,78.34583298420793,210,,,,,,2021
2021-01-19,314.23,53.78226140088463,40.385005063320236,0.13195309025920376,14.660420052906154,144.52615159329005,0.32544378698218845,3960272.0,0.13355849236851502,48.58145444111494,210,,,,,,2021
2021-01-20,320.14,55.31954769788265,35.50926935708958,0.2001541193410483,128.76894358844538,95.78970817553991,0.1518915866742292,3877487.0,0.18721580579117153,41.7435483007087,210,,,,,,2021
2021-01-21,325.16,47.05375814983309,42.89699887954034,0.049927168509703225,46.965764429614346,125.5700630973961,0.07189542483661149,3073756.0,0.08162193636022215,43.430017644014605,210,,,,,,2021
2021-01-22,325.3,47.340916077467575,26.220526795163583,0.19677046416384475,18.104268311392648,81.19079837618361,0.7438961038960952,2658252.0,0.04114563625679736,40.83941441239634,210,,,,,,2021
2021-01-25,328.91,43.476938980268365,41.28653796268303,0.13993237962419097,102.27900976718597,50.72241008300136,0.4965034965034798,2820849.0,0.05959264141398909,132.20539494602363,210,,,,,,2021
2021-01-26,328.86,61.12023353402636,36.90647305969025,0.12467644082782606,46.1279975561323,270.8947736462852,0.23383084577110225,2605790.0,0.01793122877073977,59.150299809994465,210,,,,,,2021
2021-01-27,326.26,162.4471280573779,84.11205911393924,0.08248109900009556,79.9659460609929,77.23651401812211,0.007547169811324528,6994977.0,0.013229027231000242,84.74689359616066,210,,,,,,2021
2021-01-28,320.67,89.18826207627822,66.6968399390389,0.06889669557989007,111.01859561476442,162.4471280573779,0.013986013986001189,4392869.0,0.15412280087139638,79.76612302146012,210,,,,,,2021
2021-01-29,319.54,102.9605057269814,63.8914387716707,0.0842533475845585,188.17311607335296,195.83996008357593,0.2462006079027217,4740717.0,0.08218270081730007,131.5243452426664,210,,,,,,2021
2021-02-01,318.14,105.92820770729881,48.77117081249765,0.1721027322385255,103.53150406504037,249.08618639293937,0.1721068249257942,4224654.0,0.2367566433006884,73.02202582694733,210,,,,,,2021
2021-02-02,325.47,58.37711617046048,33.57593400560503,0.13841826993840223,70.85834519462901,236.37392342993775,0.08947368421050583,3698860.0,0.08556837475502227,50.399077156396764,210,0.8141565927285247,0.7526448692198431,,,0.9368573386193607,2021
2021-02-03,329.82,63.064701958643624,44.08417556251447,0.01262754116077573,65.00045774970233,92.481641933204,0.4951923076923257,3765382.0,0.04659444159999102,67.69467096823911,210,0.8826666560977665,0.9871675193828916,1.0270522061152292,0.6273628399201905,0.9570932247927728,2021
2021-02-04,327.84,49.56686188384578,36.69195290396651,0.10378459189447702,16.74837845245018,115.06276150627664,0.323076923076979,3409709.0,0.09950219447359868,48.64242121844354,210,0.7091350332405624,0.8120926004814109,0.2523252353989141,0.8460783991677472,0.8640943162652875,2021
2021-02-05,331.22,41.66415071553636,28.086625089714218,0.2526651491610155,62.858687957807106,82.96730112249962,0.8550724637681649,2733886.0,0.12878436426410397,40.75894241085451,210,0.6148051397237058,0.6388074327721159,1.0123991697770762,0.6079914399259111,0.7247839015336566,2021
2021-02-08,333.1,29.120384268987404,25.553195408785516,0.0027884356533814897,35.853092705853925,86.72483545679614,0.5463917525773667,2647618.0,0.026348642627418012,38.23161435222595,210,0.44458359455817315,0.5869628201071186,0.5564887525387793,0.662006251889394,0.7272922657089124,2021
