,m,t,b5,share,pos,n
QQQ,1.197255338034344,1.854806108550508,0.6821181277978471,43.60668996537409,264.0,491.0
SPY,-0.06882488197925823,-0.14044917829715106,-0.5204253080779595,-648.5052362325079,244.0,494.0
IWM,-0.6656215373954386,-0.7937992633351698,-1.3127763652407585,-95.1839708911596,223.0,483.0
EFA,-0.3751309497411537,-0.7450788276718466,-0.7880900346659497,-107.84904542399389,239.0,470.0
POOLED,-0.09328932925767493,-0.19491099399064385,-0.4867546306710405,-417.4850018486538,311.0,609.0
