rule,version,n,total,p,sharpe,pf
D1 daily FVG continuation,archived,280,499006.7148302953,0.0065986802639472104,0.776191254343405,2.1216254881115
D2 5-day compression breakout,archived,891,1610085.6361002894,0.03099380123975205,0.8107084879867296,1.548306367252272
D3 oversold bounce,archived,336,213575.6042254681,0.0013997200559888023,0.8755947146341945,1.9219177052395513
D1 daily FVG continuation,repaired,240,314245.81827453483,0.07758448310337933,0.48448652058385805,1.6087424477182704
D2 5-day compression breakout,repaired,867,1330218.6574481358,0.276744651069786,0.6393344315295633,1.4114242884906363
D3 oversold bounce,repaired,339,210852.10422546815,0.0015996800639872025,0.8415036843048829,1.8635869905224196
