mins,range_bps,rv_bps,path_bps,eff,atr_bps,prints_min,vol_min,day,win,or15,or30
540,114.39105280916445,89.74954017885206,1399.6405170659543,0.029105294031055707,5.358518262487386,479.3296296296296,516.1796296296296,20260701,EU  07:00-16:00,21.972957625933027,31.519261313604307
390,73.16089636499798,60.85001333624662,761.1917671978041,0.06187877103410344,3.7495196778565636,169.33846153846153,185.8128205128205,20260701,EU- 07:00-13:30,21.972957625933027,31.519261313604307
390,100.030587865711,82.76166536886362,1219.216697787786,0.04351088956756008,6.8762285225170565,852.1871794871795,917.4307692307692,20260701,US  13:30-20:00,56.959566148326346,65.22655688102974
300,88.87015037656143,75.41806061131106,984.207580473786,0.027335573221115458,7.3683688400585305,880.4466666666667,942.95,20260701,US* 13:30-18:30,56.959566148326346,65.22655688102974
540,237.10030588195966,136.90782466194312,2204.226625411003,0.03616345568313639,7.966952862234257,563.824074074074,606.237037037037,20260702,EU  07:00-16:00,35.184782790378925,37.19056613234827
390,165.05925418289402,81.28999754311211,1133.542506343783,0.04786710873913332,5.308897063456042,196.78205128205127,215.02564102564102,20260702,EU- 07:00-13:30,35.184782790378925,37.19056613234827
390,320.8191693609382,136.45364810858868,2016.3776933206811,0.09005254975883756,11.018329144612212,1105.2692307692307,1187.823076923077,20260702,US  13:30-20:00,60.17437269878737,84.85916370920152
300,320.8191693609382,126.68038677090304,1675.778279964124,0.11846533977700925,11.846760363595058,1177.13,1264.47,20260702,US* 13:30-18:30,60.17437269878737,84.85916370920152
539,43.38758177051487,40.803687010770595,701.6019987888101,0.028027583638567895,2.376043600229126,69.43228200371057,76.68274582560296,20260703,EU  07:00-16:00,9.548618381927984,13.987888331420818
389,33.00136528490899,33.23817664199706,492.0249278169741,0.04947807879632867,2.2033782506261907,49.1439588688946,54.652956298200515,20260703,EU- 07:00-13:30,9.548618381927984,13.987888331420818
210,23.630002588445514,24.527002500958776,261.41347460537645,0.04986053866921191,2.533972850347691,103.23333333333333,113.12857142857143,20260703,US  13:30-20:00,17.284136168933642,17.284136168933642
210,23.630002588445514,24.527002500958776,261.41347460537645,0.04986053866921191,2.533972850347691,103.23333333333333,113.12857142857143,20260703,US* 13:30-18:30,17.284136168933642,17.284136168933642
540,103.05218797389344,90.22549409337569,1352.4285055832231,0.05800441864476657,4.884350993083618,357.15555555555557,382.1685185185185,20260706,EU  07:00-16:00,11.05925919719832,15.415937062761296
390,52.950392519919234,46.63039454424658,682.0262146683298,0.002211343924911465,3.3139108853143218,95.77179487179487,102.87692307692308,20260706,EU- 07:00-13:30,11.05925919719832,15.415937062761296
