level,group,touches,r30,p30,r60,p60,passes
PDH,price,545,0.44770642201834865,0.01462186256307018,0.4672897196261682,0.1302334467927395,False
PDL,price,468,0.4807692307692308,0.40538055645894283,0.4955947136563877,0.8510888591284205,False
VAH,price,644,0.4720496894409938,0.15601603599625435,0.48807631160572335,0.5497804380759798,False
VAL,price,586,0.515358361774744,0.4571347541975619,0.49912739965095987,0.9666775869536007,False
POC,price,661,0.49016641452344933,0.6131084149389773,0.5238095238095238,0.22437151015041779,False
call_wall,gamma,40,0.35,0.05777957112359724,0.425,0.3427817111479114,False
put_wall,gamma,24,0.5416666666666666,0.683091398309609,0.5652173913043478,0.5316145768816126,False
gamma_flip,gamma,90,0.4888888888888889,0.8330288937195212,0.4943820224719101,0.9155825203905918,False
