session,instrument_id,volume,volume_front,rth_prints,off_tick,first_rth,last_rth,rth_side_N,monotonic,rth_minutes_missing,max_rth_gap_s,recon_volume,cleared_volume,recon_dev,ok_grid,ok_full_cash,ok_side_N,ok_monotonic,ok_dup_dates,ok_prior_use,ok_coverage,ok_gaps,ok_volume,ok_roll_lag,passes,passes_ex_volume
2026-04-15,42004058,504256,504256,247229,0,09:30:00.002672,15:59:59.999515,0,True,0,3.971035984,504256,521771.0,-0.03356836619896464,True,True,True,True,True,True,True,True,False,True,False,True
2026-04-16,42004058,577541,577541,294893,0,09:30:00.001273,15:59:59.999515,0,True,0,3.983016478,577541,590117.0,-0.021311028152044442,True,True,True,True,True,True,True,True,False,True,False,True
2026-04-17,42004058,582463,582463,273985,0,09:30:00.000103,15:59:59.999515,0,True,0,3.599759688,582463,599136.0,-0.027828406238316505,True,True,True,True,True,True,True,True,False,True,False,True
2026-04-20,42004058,490577,490577,230716,0,09:30:00.000079,15:59:59.999512,0,True,0,5.47629715,490577,502901.0,-0.024505817248325235,True,True,True,True,True,True,True,True,False,True,False,True
2026-04-21,42004058,599674,599674,315509,0,09:30:00.001736,15:59:59.999051,1,True,0,5.152956688,599674,610696.0,-0.018048259690582547,True,True,False,True,True,True,True,True,True,True,False,False
2026-04-22,42004058,498627,498627,234172,0,09:30:00.002757,15:59:59.999745,0,True,0,5.155588528,498627,512026.0,-0.02616859300113661,True,True,True,True,True,True,True,True,False,True,False,True
2026-04-23,42004058,635289,635289,322549,0,09:30:00.000547,15:59:59.999517,0,True,0,3.898559878,635289,644095.0,-0.013671896226488345,True,True,True,True,True,True,True,True,True,True,True,True
2026-04-24,42004058,532415,532415,250729,0,09:30:00.003638,15:59:59.999514,0,True,0,4.336458354,532415,545525.0,-0.02403189588011545,True,True,True,True,True,True,True,True,False,True,False,True
2026-04-27,42004058,434646,434646,211002,0,09:30:00.000085,15:59:59.999513,0,True,0,6.454905512,434646,444514.0,-0.022199525774216355,True,True,True,True,True,True,True,True,False,True,False,True
2026-04-28,42004058,591663,591663,276163,0,09:30:00.000102,15:59:59.999516,0,True,0,5.575603288,591663,603738.0,-0.02000039752342908,True,True,True,True,True,True,True,True,False,True,False,True
