set,n,real,sham,ratio,passes
prior-day (PDH/PDL),1414,47.43522134543533,50.78875780249983,0.9339708903670128,False
value area (VAH/VAL/POC),1414,45.211025469021166,46.58276480275087,0.9705526423874115,False
all five price levels,1414,28.430713964955487,30.377046761881143,0.9359275175041695,False
gamma (walls + flip),336,64.2348191728301,65.87452837851302,0.9751086004553808,False
price + gamma combined,336,18.706244163183,20.413474174373512,0.9163674935188779,False
