,A,rt,disp_d,disp_t,B_d,B_t,abs_d,abs_t,ord_d,ord_t,abs_m,disp_m,disp_std
QQQ,0.6915492214280927,0.5131307062406018,-0.732129957142376,-0.7558019935808421,1.6660540565644886,1.1787074378503957,1.1826682234496162,1.2305641208432112,0.5297524070557328,0.7405781403256154,-1.1745183249118782,0.17418512190916022,0.8095658814549014
SPY,0.015174378040161928,0.4042822013168313,-1.059661748235195,-1.733200484720601,1.2008082755346012,1.1529764422627427,0.5388078570380144,0.940308085664745,-0.1553067136706416,-0.3061724265604158,-0.7706658010181527,-0.0041029988493373115,-0.20490263017597388
IWM,-1.0398397579517789,0.8745939649828941,-1.234705409877147,-1.2150154021742174,-1.8944425910044025,-1.2942336286791762,1.0635284433853294,1.0947490758178213,-0.5722786867870807,-0.6487465510798804,-0.5082107296195938,-0.07901515785782737,0.1008466824412002
EFA,-0.33479716803187565,2.3712881494086777,-0.15477441714701376,-0.270079057496654,-1.1307905094606667,-1.4813153570346032,-0.4444312271091227,-0.8940689131464217,-0.32628174895729944,-0.6342792592240052,-0.8090019657320546,-0.21072116437472538,-0.21920036340024893
