category,stat,real,p95,pct,beats
last 3 of month,rv_bps,-2.898997434760787,7.038009479603189,54.900000000000006,False
last 3 of month,range_bps,2.6767059429830624,13.765887387424373,30.099999999999998,False
last 3 of month,eff,0.0003496846223313907,0.006611807745221132,8.200000000000001,False
last 3 of month,or_ratio,0.04114334724807489,0.06130324633817587,78.60000000000001,False
last 3 of quarter,rv_bps,-9.478559970720283,12.23210636399993,87.4,False
last 3 of quarter,range_bps,-19.088863573496212,22.566576844315254,90.0,False
last 3 of quarter,eff,-0.004621045630822385,0.010313169827893705,61.9,False
last 3 of quarter,or_ratio,-0.05242803959997633,0.10102469354290182,67.7,False
first of month,rv_bps,2.0778475481645557,13.075036656105436,25.5,False
first of month,range_bps,12.943818263788529,23.036833889533625,74.4,False
first of month,eff,0.004964915122768233,0.010514044706316313,64.0,False
first of month,or_ratio,0.137354507555284,0.10617889315748542,99.1,True
Monday,rv_bps,-7.658788599872693,6.880277818196264,96.89999999999999,True
Monday,range_bps,-14.531235412243262,12.519267441137472,97.8,True
Monday,eff,-0.0026600433289900444,0.005810717486474505,62.8,False
Monday,or_ratio,0.07475331950959152,0.055695247587629775,99.0,True
Tuesday,rv_bps,-6.372074427194448,6.428342505287355,94.89999999999999,False
Tuesday,range_bps,-9.06273177672503,12.408147913497114,84.3,False
Tuesday,eff,-0.0013497563020380549,0.005390994138015448,34.2,False
Tuesday,or_ratio,-0.048768252685184366,0.056250838416366335,91.8,False
Wednesday,rv_bps,5.5405853565865755,6.100230435247953,92.30000000000001,False
Wednesday,range_bps,6.585658842587492,12.429991497528738,68.2,False
Wednesday,eff,-0.0006612834529487882,0.005549659263898884,17.9,False
Wednesday,or_ratio,-0.08597446199989267,0.05822893124694153,99.8,True
Thursday,rv_bps,3.674851586221081,6.702344366790951,72.1,False
Thursday,range_bps,12.586429522626219,11.423064775611962,96.39999999999999,True
Thursday,eff,0.002867109361284585,0.005573570922837056,66.60000000000001,False
Thursday,or_ratio,0.040451106783978785,0.058835480596380114,82.5,False
Friday,rv_bps,4.454034135783232,6.512285369908492,81.8,False
Friday,range_bps,3.712050499170857,12.538342991129849,39.5,False
Friday,eff,0.0017062436442129084,0.00558841371091239,45.2,False
Friday,or_ratio,0.026713068646148974,0.059223353853490465,63.4,False
futures roll week,rv_bps,5.746489344088957,9.589443100541596,74.7,False
futures roll week,range_bps,5.50972157472475,19.153281937434407,44.2,False
futures roll week,eff,0.0011456618393920065,0.008697369341665992,21.2,False
futures roll week,or_ratio,0.022859113193589353,0.07842311996681552,38.9,False
monthly expiry,rv_bps,-3.809082066754584,15.594408020775933,34.5,False
monthly expiry,range_bps,-8.09351531650421,25.12637550006521,51.1,False
monthly expiry,eff,-0.0008602526582335637,0.01248237378744855,10.6,False
monthly expiry,or_ratio,-0.045802645550659715,0.12371970846397783,54.900000000000006,False
quarterly expiry,rv_bps,2.0415586150907075,26.532060274444298,14.899999999999999,False
quarterly expiry,range_bps,-3.153339223139966,40.64948861193788,12.2,False
quarterly expiry,eff,-0.00744106210039102,0.02138265091733341,53.300000000000004,False
quarterly expiry,or_ratio,0.06244214354273514,0.19880312636265143,46.0,False
pre-monthly expiry,rv_bps,-1.054986706930407,12.536978751787041,12.6,False
pre-monthly expiry,range_bps,2.3020845220610227,26.34088234130204,15.0,False
pre-monthly expiry,eff,0.006634186804264773,0.011559757826586883,71.1,False
pre-monthly expiry,or_ratio,-0.05714464801705055,0.12425215309892336,62.0,False
pre-quarterly expiry,rv_bps,6.3078441140732195,20.586207613606813,44.1,False
pre-quarterly expiry,range_bps,14.932807030144232,44.56466744565523,52.5,False
pre-quarterly expiry,eff,0.004801731538386679,0.018512740572659083,37.4,False
pre-quarterly expiry,or_ratio,0.019178008057769036,0.19987759908777392,16.3,False
