R,naive_R,why,amb,risk,risk_bps,cost_pct,hit1,hit2,hit3,slip_R,R1,naive_R1,R2,naive_R2,R3,naive_R3,day,year,dir,setup,orb_bps,leg_bps,orb,band
0.9882363617952675,0.9882363617952675,close-partial,False,3.48933999999997,106.08798759538992,0.6284091929514901,True,False,False,0.0,0.9937159080704852,0.9937159080704852,0.9854965886576587,0.9854965886576587,0.9854965886576587,0.9854965886576587,2021-01-25,2021,1,reversal,43.476938980268365,171.1714450761605,15,A
0.2798916486716914,0.2798916486716914,close,False,1.0296381999999653,30.95539053574545,2.1536367499445355,False,False,False,0.0,0.2798916486716914,0.2798916486716914,0.2798916486716914,0.2798916486716914,0.2798916486716914,0.2798916486716914,2021-02-09,2021,-1,reversal,28.56112079850847,49.60315074258921,15,A
-1.0055046443988664,-1.0055046443988664,stop,False,3.7396300000000338,121.10985167433235,0.5504644398866505,False,False,False,0.0,-1.0055046443988664,-1.0055046443988664,-1.0055046443988664,-1.0055046443988664,-1.0055046443988664,-1.0055046443988664,2021-03-04,2021,1,reversal,91.97486883865454,195.44659628214345,15,A
1.0010993091342515,1.0010993091342515,close-partial,False,1.7774800000000255,55.35768787567428,1.2042892184440719,True,False,False,0.0,0.9879571078155592,0.9879571078155592,1.0076704097935976,1.0076704097935976,1.0076704097935976,1.0076704097935976,2021-03-16,2021,-1,reversal,43.60148245040261,89.0715998629672,15,A
-1.0228207253886017,-1.0215810981644997,stop,False,0.964999999999975,29.213211031392092,2.2820725388601626,False,False,False,0.0012396272241019801,-1.0228207253886017,-1.0215810981644997,-1.0228207253886017,-1.0215810981644997,-1.0228207253886017,-1.0215810981644997,2021-04-07,2021,-1,reversal,34.51094360185228,49.4959585868674,15,A
-0.017502943858163277,-0.017502943858163277,close,False,0.9030099999999948,26.409206562746608,2.5243721922607127,False,False,False,0.0,-0.017502943858163277,-0.017502943858163277,-0.017502943858163277,-0.017502943858163277,-0.017502943858163277,-0.017502943858163277,2021-04-27,2021,1,reversal,34.21752990378028,42.26011171877265,15,A
-0.30152635980849296,-0.30152635980849296,close,False,0.9246400000000108,25.510829079873382,2.6132693084154974,False,False,False,0.0,-0.30152635980849296,-0.30152635980849296,-0.30152635980849296,-0.30152635980849296,-0.30152635980849296,-0.30152635980849296,2021-07-30,2021,-1,reversal,36.14291626431238,40.83321837494877,15,A
-1.025358602049154,-1.025358602049154,stop,False,1.0606000000000222,26.28956696329034,2.5358602049154038,False,False,False,0.0,-1.025358602049154,-1.025358602049154,-1.025358602049154,-1.025358602049154,-1.025358602049154,-1.025358602049154,2021-11-19,2021,-1,reversal,29.00131373472513,42.1386609820798,15,A
-1.008764650104305,-1.008764650104305,stop,False,2.6365000000000123,76.0631238820614,0.8764650104304909,False,False,False,0.0,-1.008764650104305,-1.008764650104305,-1.008764650104305,-1.008764650104305,-1.008764650104305,-1.008764650104305,2022-01-25,2022,1,reversal,84.53060988979306,122.61265939645722,15,A
1.9889338947030162,1.9889338947030162,3R,False,2.1658929999999827,60.24401980418288,1.1066105296983826,True,True,True,0.0,0.9889338947030162,0.9889338947030162,1.9889338947030162,1.9889338947030162,2.988933894703016,2.988933894703016,2022-02-10,2022,-1,reversal,81.49755229194501,97.03215398308822,15,A
-1.0105785103995335,-1.0105785103995335,stop,False,2.206990000000019,63.020845231296946,1.0578510399533512,False,False,False,0.0,-1.0105785103995335,-1.0105785103995335,-1.0105785103995335,-1.0105785103995335,-1.0105785103995335,-1.0105785103995335,2022-03-21,2022,1,reversal,74.81439177612805,101.51342090234171,15,A
