hypothesis,n,net_pts,sharpe,dd_nq,dd_mnq,t_daily,p_holm,passes
OF-1 VWAP reversion,195,-4.157692307692308,-3.3406957316391037,19380.0,1938.0,-1.6436205755129691,1.0,False
OF-2 CVD reversion,248,-0.4536290322580645,-0.3796059877063214,17675.0,1767.5,-0.18676595000045224,1.0,False
OF-3 sweep reversal,290,2.8379310344827586,2.6072012581318766,10930.0,1093.0,1.28274167317426,0.40903180168861875,False
"OF-4 opening flow, gap days",21,-21.523809523809526,-5.963279876800942,9600.0,960.0,-2.933930621165387,1.0,False
