R,naive_R,why,amb,risk,risk_bps,cost_pct,hit1,hit2,hit3,slip_R,R1,naive_R1,R2,naive_R2,R3,naive_R3,day,year,dir,setup,orb_bps,leg_bps,inst,variant
0.035716573258609566,0.03477934482263608,close-partial,False,1.2490000000000236,32.370092004665636,2.0595142780890994,True,False,False,-0.0009372284359734848,0.979404857219109,0.9794571600462129,-0.4361275687216401,-0.43755956278915226,-0.4361275687216401,-0.43755956278915226,2021-03-09,2021,1,continuation,27.990151613320823,52.092782169236514,SPY,15A
-0.3908879432624081,-0.3890091795990613,stop,False,0.4700000000000273,11.583201892745151,5.755460992907468,True,False,False,0.0018787636633468274,0.9424453900709253,0.9443241537342721,-1.0575546099290747,-1.0556758462657279,-1.0575546099290747,-1.0556758462657279,2021-04-06,2021,1,continuation,18.483832807570977,18.976735015772423,SPY,15A
-1.1986904761904955,-1.04912869421877,stop,False,0.13999999999998636,3.355302576392723,19.869047619049557,False,False,False,0.14956178197172543,-1.1986904761904955,-1.04912869421877,-1.1986904761904955,-1.04912869421877,-1.1986904761904955,-1.04912869421877,2021-04-16,2021,-1,continuation,18.214499700419196,21.569802276811917,SPY,15A
0.6401224880382763,-0.3590377522842266,stop,False,1.044999999999959,25.115362430300884,2.6544178628390194,True,True,False,-0.9991602403225028,0.9734558213716099,0.974295581049107,1.9734558213716098,-1.025704418950893,-1.0265441786283902,-1.025704418950893,2021-05-04,2021,-1,continuation,41.33820419150229,41.57854258796429,SPY,15A
1.9540888888888863,1.9581143765408078,3R,False,0.5999999999999659,14.520813165536445,4.591111111111372,True,True,True,0.0040254876519214555,0.9540888888888862,0.9581143765408077,1.9540888888888863,1.9581143765408078,2.9540888888888865,2.958114376540808,2021-05-14,2021,1,continuation,19.845111326234104,25.363020329138475,SPY,15A
1.9494041600462209,1.9494041600462209,3R,False,0.5538399999999797,13.17631384864225,5.0595839953779125,True,True,True,0.0,0.9494041600462209,0.9494041600462209,1.9494041600462209,1.9494041600462209,2.949404160046221,2.949404160046221,2021-05-25,2021,-1,continuation,14.036590298098519,20.935931292079925,SPY,15A
0.9837181070389773,0.9837181070389773,close-partial,False,0.955539999999985,22.61258489717644,2.9482107848267765,True,False,False,0.0,0.9705178921517322,0.9705178921517322,0.9903182144825998,0.9903182144825998,0.9903182144825998,0.9903182144825998,2021-06-01,2021,-1,continuation,27.68772037768928,36.207018955440034,SPY,15A
0.6196544444444417,0.6226174859974587,stop,False,0.5999999999999659,14.180709508164918,4.70122222222249,True,True,False,0.002963041553016965,0.9529877777777751,0.9559508193307922,1.9529877777777753,1.9559508193307924,-1.047012222222225,-1.0440491806692078,2021-06-08,2021,-1,continuation,15.362435300512331,24.1072061638813,SPY,15A
1.2368311283391453,1.2368311283391453,close-partial,False,0.949359999999956,21.56509097517107,3.091415971461619,True,False,False,0.0,0.9690858402853838,0.9690858402853838,1.3707037723660258,1.3707037723660258,1.3707037723660258,1.3707037723660258,2021-08-20,2021,1,continuation,30.665788337914787,34.527406128614174,SPY,15A
-0.05335233860585909,-0.05335233860585909,close,False,0.9400899999999979,20.84502982327763,3.1982044272356975,False,False,False,0.0,-0.05335233860585909,-0.05335233860585909,-0.05335233860585909,-0.05335233860585909,-0.05335233860585909,-0.05335233860585909,2021-08-30,2021,1,continuation,13.30406439167216,33.37102818244297,SPY,15A
