time,price,volume,aggressor
2026-09-10 00:00:00.030,29465,1,B
2026-09-10 00:00:00.038,29465,1,B
2026-09-10 00:00:00.038,29470,1,B
2026-09-10 00:00:00.038,29470,1,B
2026-09-10 00:00:00.038,29470,1,B
2026-09-10 00:00:00.038,29470,1,B
2026-09-10 00:00:00.038,29470,1,B
2026-09-10 00:00:00.042,29470,1,B
2026-09-10 00:00:00.044,29470,1,B
2026-09-10 00:00:00.064,29470,1,S
2026-09-10 00:00:00.065,29470,1,B
2026-09-10 00:00:00.071,29470,1,B
2026-09-10 00:00:00.075,29470,1,S
2026-09-10 00:00:00.075,29470,1,S
2026-09-10 00:00:00.075,29470,1,S
2026-09-10 00:00:00.076,29470,1,B
2026-09-10 00:00:00.132,29470,1,B
2026-09-10 00:00:00.140,29470,1,B
2026-09-10 00:00:00.140,29470,1,B
2026-09-10 00:00:00.165,29470,1,S
2026-09-10 00:00:00.225,29470,1,S
2026-09-10 00:00:00.364,29470,1,S
2026-09-10 00:00:00.364,29470,1,S
2026-09-10 00:00:00.364,29470,1,S
2026-09-10 00:00:00.377,29470,1,S
2026-09-10 00:00:00.550,29465,1,S
2026-09-10 00:00:00.553,29465,1,S
2026-09-10 00:00:00.817,29470,1,S
2026-09-10 00:00:00.817,29470,1,S
2026-09-10 00:00:00.894,29470,1,S
2026-09-10 00:00:01.006,29465,1,S
2026-09-10 00:00:01.108,29470,1,S
2026-09-10 00:00:01.311,29470,1,S
2026-09-10 00:00:01.311,29470,1,S
2026-09-10 00:00:01.333,29470,1,S
2026-09-10 00:00:01.333,29465,1,S
2026-09-10 00:00:01.333,29465,1,S
2026-09-10 00:00:01.333,29465,1,S
2026-09-10 00:00:01.333,29465,1,S
2026-09-10 00:00:01.567,29470,1,S
2026-09-10 00:00:01.595,29470,1,S
2026-09-10 00:00:01.644,29470,1,B
2026-09-10 00:00:01.732,29470,1,B
2026-09-10 00:00:01.820,29470,1,S
2026-09-10 00:00:02.048,29470,1,B
2026-09-10 00:00:02.051,29470,1,S
2026-09-10 00:00:02.781,29465,1,B
2026-09-10 00:00:02.881,29465,1,B
2026-09-10 00:00:02.882,29465,1,B
2026-09-10 00:00:02.980,29465,1,S
2026-09-10 00:00:02.980,29465,1,S
2026-09-10 00:00:03.049,29465,1,B
2026-09-10 00:00:03.182,29465,1,B
2026-09-10 00:00:03.337,29465,1,S
2026-09-10 00:00:04.082,29465,1,B
2026-09-10 00:00:04.082,29465,1,B
2026-09-10 00:00:04.082,29465,1,B
2026-09-10 00:00:04.082,29465,1,B
2026-09-10 00:00:04.083,29465,1,B
2026-09-10 00:00:04.085,29465,1,B
2026-09-10 00:00:04.633,29465,1,S
2026-09-10 00:00:04.633,29465,1,S
2026-09-10 00:00:04.649,29465,1,S
2026-09-10 00:00:04.676,29465,1,B
2026-09-10 00:00:04.677,29465,1,B
2026-09-10 00:00:04.833,29465,1,B
2026-09-10 00:00:05.016,29465,1,B
2026-09-10 00:00:05.017,29465,1,B
2026-09-10 00:00:05.055,29465,1,S
2026-09-10 00:00:05.149,29465,1,S
2026-09-10 00:00:05.296,29460,1,S
2026-09-10 00:00:05.297,29460,1,S
2026-09-10 00:00:05.297,29460,1,S
2026-09-10 00:00:05.297,29460,1,S
2026-09-10 00:00:05.973,29460,1,B
2026-09-10 00:00:05.973,29460,1,B
2026-09-10 00:00:06.484,29465,1,B
2026-09-10 00:00:06.552,29460,1,S
2026-09-10 00:00:07.213,29460,3,S
2026-09-10 00:00:07.213,29460,1,S
2026-09-10 00:00:07.213,29460,1,S
2026-09-10 00:00:07.213,29460,1,S
2026-09-10 00:00:07.213,29460,1,S
2026-09-10 00:00:07.760,29460,1,S
2026-09-10 00:00:08.138,29460,1,B
2026-09-10 00:00:08.851,29465,1,B
2026-09-10 00:00:08.851,29465,1,B
2026-09-10 00:00:08.851,29465,1,B
2026-09-10 00:00:09.781,29460,1,B
2026-09-10 00:00:09.797,29460,1,S
2026-09-10 00:00:11.431,29460,1,B
2026-09-10 00:00:11.731,29460,1,S
2026-09-10 00:00:11.731,29460,1,S
2026-09-10 00:00:11.847,29460,1,S
2026-09-10 00:00:12.248,29460,1,S
2026-09-10 00:00:12.283,29455,1,S
2026-09-10 00:00:12.526,29455,1,B
2026-09-10 00:00:12.526,29455,1,B
2026-09-10 00:00:12.527,29460,1,B
2026-09-10 00:00:12.527,29460,1,B
