time,price,volume,aggressor
2026-09-09 00:00:00.038,29505,1,B
2026-09-09 00:00:00.038,29505,1,B
2026-09-09 00:00:00.038,29505,1,B
2026-09-09 00:00:00.038,29505,1,B
2026-09-09 00:00:00.038,29505,1,B
2026-09-09 00:00:00.038,29505,1,B
2026-09-09 00:00:00.038,29505,1,B
2026-09-09 00:00:00.038,29505,1,B
2026-09-09 00:00:00.040,29505,1,B
2026-09-09 00:00:00.040,29505,1,B
2026-09-09 00:00:00.041,29505,1,S
2026-09-09 00:00:00.041,29505,1,S
2026-09-09 00:00:00.041,29505,1,S
2026-09-09 00:00:00.042,29500,1,S
2026-09-09 00:00:00.043,29505,1,S
2026-09-09 00:00:00.045,29505,1,S
2026-09-09 00:00:00.047,29505,1,B
2026-09-09 00:00:00.047,29505,1,B
2026-09-09 00:00:00.060,29505,1,B
2026-09-09 00:00:00.065,29505,1,B
2026-09-09 00:00:00.070,29505,1,B
2026-09-09 00:00:00.096,29505,1,S
2026-09-09 00:00:00.096,29505,1,S
2026-09-09 00:00:00.144,29500,1,S
2026-09-09 00:00:00.211,29500,1,S
2026-09-09 00:00:00.339,29500,1,S
2026-09-09 00:00:00.558,29500,1,B
2026-09-09 00:00:00.612,29505,1,B
2026-09-09 00:00:00.875,29505,1,B
2026-09-09 00:00:01.001,29505,1,B
2026-09-09 00:00:01.243,29505,1,B
2026-09-09 00:00:01.302,29505,1,S
2026-09-09 00:00:01.815,29505,1,B
2026-09-09 00:00:01.815,29505,1,B
2026-09-09 00:00:01.831,29505,1,B
2026-09-09 00:00:01.864,29505,1,B
2026-09-09 00:00:01.864,29505,1,B
2026-09-09 00:00:01.864,29505,1,B
2026-09-09 00:00:01.865,29505,1,B
2026-09-09 00:00:01.865,29505,1,B
2026-09-09 00:00:01.867,29505,1,B
2026-09-09 00:00:01.952,29505,1,B
2026-09-09 00:00:02.051,29505,1,S
2026-09-09 00:00:02.186,29505,1,B
2026-09-09 00:00:02.308,29505,1,S
2026-09-09 00:00:02.322,29505,1,S
2026-09-09 00:00:02.351,29505,1,S
2026-09-09 00:00:02.749,29505,1,S
2026-09-09 00:00:02.861,29505,1,S
2026-09-09 00:00:03.709,29505,1,B
2026-09-09 00:00:04.046,29505,1,S
2026-09-09 00:00:05.320,29505,1,S
2026-09-09 00:00:05.320,29505,1,B
2026-09-09 00:00:05.385,29505,1,S
2026-09-09 00:00:05.539,29505,1,B
2026-09-09 00:00:05.539,29505,1,B
2026-09-09 00:00:05.539,29505,1,B
2026-09-09 00:00:05.539,29505,1,B
2026-09-09 00:00:05.539,29505,1,B
2026-09-09 00:00:05.539,29505,1,B
2026-09-09 00:00:05.542,29505,1,B
2026-09-09 00:00:05.555,29510,1,B
2026-09-09 00:00:05.555,29510,1,B
2026-09-09 00:00:05.555,29510,1,B
2026-09-09 00:00:05.555,29510,1,B
2026-09-09 00:00:05.555,29510,1,B
2026-09-09 00:00:05.555,29510,1,B
2026-09-09 00:00:05.555,29510,1,B
2026-09-09 00:00:05.844,29510,1,S
2026-09-09 00:00:05.950,29510,1,B
2026-09-09 00:00:06.063,29510,1,S
2026-09-09 00:00:06.156,29510,1,B
2026-09-09 00:00:06.156,29510,1,B
2026-09-09 00:00:06.189,29510,1,B
2026-09-09 00:00:06.239,29510,1,S
2026-09-09 00:00:06.333,29510,1,S
2026-09-09 00:00:06.336,29510,1,B
2026-09-09 00:00:06.336,29510,1,B
2026-09-09 00:00:06.336,29510,1,B
2026-09-09 00:00:06.336,29510,1,B
2026-09-09 00:00:06.336,29510,1,B
2026-09-09 00:00:06.336,29510,1,B
2026-09-09 00:00:06.511,29510,1,B
2026-09-09 00:00:06.610,29510,1,B
2026-09-09 00:00:06.610,29510,1,B
2026-09-09 00:00:06.611,29510,1,B
2026-09-09 00:00:06.662,29510,1,B
2026-09-09 00:00:48.458,29515,1,B
2026-09-09 00:00:48.458,29520,1,B
2026-09-09 00:00:48.458,29520,1,B
2026-09-09 00:00:48.458,29520,1,B
