timestamp,open,high,low,close,volume
2025-08-29 15:55:00,289.4800,290.3000,289.4800,290.2900,763478
2025-08-29 15:50:00,290.1500,290.2800,289.4200,289.4900,436160
2025-08-29 15:45:00,290.1800,290.4900,290.0800,290.1200,232152
2025-08-29 15:40:00,289.9400,290.2300,289.8850,290.1900,224925
2025-08-29 15:35:00,289.8500,289.9800,289.6700,289.9300,161439
2025-08-29 15:30:00,289.9200,290.0500,289.8300,289.8800,95117
2025-08-29 15:25:00,290.0500,290.0500,289.8400,289.9300,118056
2025-08-29 15:20:00,290.1400,290.3425,290.0100,290.0600,143673
2025-08-29 15:15:00,289.8500,290.1550,289.8500,290.1500,154587
2025-08-29 15:10:00,289.8900,290.0300,289.7700,289.8600,128641
2025-08-29 15:05:00,289.6700,289.9200,289.6700,289.9000,107576
2025-08-29 15:00:00,289.8100,289.8400,289.6100,289.6500,110203
2025-08-29 14:55:00,289.4950,289.8300,289.4350,289.8262,92430
2025-08-29 14:50:00,289.2800,289.5150,289.2400,289.5000,83817
2025-08-29 14:45:00,289.3500,289.4350,289.2500,289.2700,56123
2025-08-29 14:40:00,289.4600,289.5100,289.2800,289.3600,71393
2025-08-29 14:35:00,289.5100,289.6400,289.4500,289.4500,73461
2025-08-29 14:30:00,289.1600,289.6200,289.1500,289.5200,98239
2025-08-29 14:25:00,289.3300,289.4400,289.1000,289.1450,76143
2025-08-29 14:20:00,289.4250,289.4300,289.2050,289.3500,253177
2025-08-29 14:15:00,289.5350,289.6600,289.4300,289.4350,130828
2025-08-29 14:10:00,289.8450,289.8800,289.4900,289.5500,140593
2025-08-29 14:05:00,289.7700,289.9800,289.7100,289.8750,102660
2025-08-29 14:00:00,290.0700,290.0700,289.7300,289.7600,81401
2025-08-29 13:55:00,290.1975,290.2500,289.8701,290.0700,75631
2025-08-29 13:50:00,290.1500,290.4000,290.0775,290.2000,76144
2025-08-29 13:45:00,290.0300,290.2700,289.9900,290.1450,68715
2025-08-29 13:40:00,289.8300,290.0300,289.7600,290.0150,79018
2025-08-29 13:35:00,289.6300,289.8500,289.4200,289.8250,57047
2025-08-29 13:30:00,289.7000,290.0100,289.4600,289.5800,69014
2025-08-29 13:25:00,289.6800,289.8400,289.6200,289.7200,80224
2025-08-29 13:20:00,289.3900,289.7400,289.3900,289.6900,75714
2025-08-29 13:15:00,289.3900,289.5200,289.1300,289.3600,104829
2025-08-29 13:10:00,289.8500,289.8600,289.2800,289.3900,73083
2025-08-29 13:05:00,289.7900,290.0200,289.4800,289.8500,110641
2025-08-29 13:00:00,290.5300,290.5500,289.7300,289.7601,101814
2025-08-29 12:55:00,290.8400,290.8900,290.5600,290.5600,64141
2025-08-29 12:50:00,290.6800,290.9300,290.6100,290.8600,54364
2025-08-29 12:45:00,290.9600,291.0200,290.6500,290.7100,56825
2025-08-29 12:40:00,290.8800,290.9850,290.8000,290.9500,58848
2025-08-29 12:35:00,290.8400,290.9300,290.7500,290.8900,65874
2025-08-29 12:30:00,290.5800,290.9600,290.5657,290.8800,65921
2025-08-29 12:25:00,291.0500,291.0500,290.5600,290.5600,64224
2025-08-29 12:20:00,291.1800,291.3000,291.0200,291.0500,52444
2025-08-29 12:15:00,291.2900,291.4000,291.1000,291.1900,67589
2025-08-29 12:10:00,291.0000,291.3150,290.9700,291.2600,80258
2025-08-29 12:05:00,290.9400,291.1100,290.6800,291.0200,64780
2025-08-29 12:00:00,290.4900,291.0000,290.4500,290.9846,74356
2025-08-29 11:55:00,290.7400,290.8500,290.3500,290.4900,94304
2025-08-29 11:50:00,290.6400,290.9700,290.4600,290.7300,99177
2025-08-29 11:45:00,290.8400,290.8400,290.5100,290.6750,89228
2025-08-29 11:40:00,290.9900,291.1100,290.7600,290.8200,101198
2025-08-29 11:35:00,290.9200,291.2000,290.8400,290.9500,86891
2025-08-29 11:30:00,291.2900,291.3400,290.8000,290.9000,114960
2025-08-29 11:25:00,291.2700,291.5900,291.1700,291.2501,110995
2025-08-29 11:20:00,290.7700,291.3600,290.7600,291.3000,71860
2025-08-29 11:15:00,290.8200,291.0200,290.5650,290.7800,89940
2025-08-29 11:10:00,290.8800,291.0500,290.7500,290.8200,146671
2025-08-29 11:05:00,290.3800,290.9400,290.3500,290.8700,148863
2025-08-29 11:00:00,289.9700,290.5100,289.8900,290.3900,147443
2025-08-29 10:55:00,290.0900,290.4500,289.7400,290.0100,125872
2025-08-29 10:50:00,290.6150,290.6150,289.8800,290.0995,97978
2025-08-29 10:45:00,291.0000,291.2000,290.4700,290.6400,138811
2025-08-29 10:40:00,291.6900,291.8200,290.9700,290.9900,138652
2025-08-29 10:35:00,291.2400,291.8700,291.1300,291.7400,104944
2025-08-29 10:30:00,291.3850,291.7600,291.0900,291.2600,97807
2025-08-29 10:25:00,291.5200,291.5600,290.5700,291.4350,142564
2025-08-29 10:20:00,290.6600,291.6500,290.5900,291.5101,172376
2025-08-29 10:15:00,290.3600,290.7880,289.7700,290.6700,210466
2025-08-29 10:10:00,290.4100,290.7700,289.7200,290.3800,307418
2025-08-29 10:05:00,291.1400,291.3900,290.1006,290.4400,259773
2025-08-29 10:00:00,292.0900,292.7600,291.1000,291.1600,237934
2025-08-29 09:55:00,292.2600,292.5500,291.4800,292.0900,317523
2025-08-29 09:50:00,291.8400,292.7500,291.5600,292.2700,240990
2025-08-29 09:45:00,292.9800,293.0000,291.5900,291.8500,324827
2025-08-29 09:40:00,292.7600,293.4700,292.4100,293.1600,170799
2025-08-29 09:35:00,294.0500,294.1400,292.7600,292.7600,224224
2025-08-29 09:30:00,295.5600,295.5600,293.6600,294.1006,304036
2025-08-28 15:55:00,299.8100,299.8100,298.8500,298.8800,376619
2025-08-28 15:50:00,299.7200,299.9600,299.4600,299.8200,253885
2025-08-28 15:45:00,299.6100,299.7800,299.5400,299.6900,129624
2025-08-28 15:40:00,299.5700,299.7800,299.5700,299.6100,135837
2025-08-28 15:35:00,299.4700,299.6100,299.4550,299.5700,77528
2025-08-28 15:30:00,299.4000,299.5050,299.2800,299.4650,85352
2025-08-28 15:25:00,299.2800,299.5200,299.2500,299.4100,67904
2025-08-28 15:20:00,299.4700,299.5100,299.2550,299.2800,49133
2025-08-28 15:15:00,299.5700,299.5900,299.3800,299.4700,53692
2025-08-28 15:10:00,299.6900,299.7500,299.5600,299.5900,128798
2025-08-28 15:05:00,299.5600,299.7100,299.4400,299.7000,84794
2025-08-28 15:00:00,299.7200,299.8000,299.5600,299.5700,64842
2025-08-28 14:55:00,299.8000,299.8900,299.6902,299.7050,56757
2025-08-28 14:50:00,299.6600,299.8100,299.6300,299.7850,44926
2025-08-28 14:45:00,299.5450,299.7300,299.5200,299.6300,77695
2025-08-28 14:40:00,299.3700,299.6400,299.3700,299.5600,51535
2025-08-28 14:35:00,299.3800,299.4100,299.2700,299.3900,50361
2025-08-28 14:30:00,299.4300,299.5200,299.3090,299.3750,42242
2025-08-28 14:25:00,299.3400,299.5200,299.2350,299.4300,49410
2025-08-28 14:20:00,299.1100,299.3800,299.0700,299.3550,51425
2025-08-28 14:15:00,299.0250,299.1500,298.9101,299.1100,41623
2025-08-28 14:10:00,299.1500,299.1600,299.0000,299.0150,83320
2025-08-28 14:05:00,299.0000,299.1600,298.9600,299.1400,58800
2025-08-28 14:00:00,298.9600,299.0800,298.9200,299.0000,67615
2025-08-28 13:55:00,299.1000,299.1300,298.8350,298.9600,61495
2025-08-28 13:50:00,299.0800,299.2500,299.0600,299.1100,47165
2025-08-28 13:45:00,299.0800,299.1199,298.9700,299.0800,43654
2025-08-28 13:40:00,298.9600,299.0950,298.8700,299.0600,75623
2025-08-28 13:35:00,298.8155,299.0850,298.8155,298.9400,57760
2025-08-28 13:30:00,298.9800,299.1500,298.7100,298.8200,76992
2025-08-28 13:25:00,298.9300,299.0700,298.7000,298.9900,70740
2025-08-28 13:20:00,298.7300,298.9700,298.6400,298.9300,51329
2025-08-28 13:15:00,298.6200,298.7500,298.5800,298.7300,50443
2025-08-28 13:10:00,298.4800,298.6298,298.3250,298.6000,59143
2025-08-28 13:05:00,298.6700,298.7000,298.4300,298.5200,49090
2025-08-28 13:00:00,298.6050,298.7300,298.4600,298.6900,46811
2025-08-28 12:55:00,299.0100,299.0100,298.5800,298.6100,100222
2025-08-28 12:50:00,298.7700,299.0950,298.7300,298.9950,49754
2025-08-28 12:45:00,298.5900,298.8200,298.5900,298.8150,54703
2025-08-28 12:40:00,298.6200,298.7000,298.5400,298.6050,70879
2025-08-28 12:35:00,298.5500,298.7500,298.4900,298.6300,58351
2025-08-28 12:30:00,298.9600,299.0000,298.4850,298.5200,70243
2025-08-28 12:25:00,298.6700,299.1400,298.5900,298.9700,96778
2025-08-28 12:20:00,298.5100,298.6900,298.4550,298.6650,70781
2025-08-28 12:15:00,298.6700,298.7600,298.3600,298.5100,73714
2025-08-28 12:10:00,298.3200,298.6800,298.2700,298.6600,52335
2025-08-28 12:05:00,298.2000,298.4400,298.0700,298.3100,59489
2025-08-28 12:00:00,298.0800,298.2900,297.9100,298.2000,73827
2025-08-28 11:55:00,298.0300,298.3400,298.0000,298.0600,74973
2025-08-28 11:50:00,298.2200,298.2900,297.8500,298.0500,51860
2025-08-28 11:45:00,298.1600,298.2800,297.8700,298.2200,42189
2025-08-28 11:40:00,298.3300,298.5800,298.1800,298.2400,55375
2025-08-28 11:35:00,298.4900,298.5600,298.2900,298.2900,99859
2025-08-28 11:30:00,297.8200,298.6500,297.8100,298.5200,54418
2025-08-28 11:25:00,298.4700,298.4700,297.6600,297.8300,123466
2025-08-28 11:20:00,298.8600,298.9200,298.2400,298.4800,81879
2025-08-28 11:15:00,298.8500,299.3600,298.7700,298.9000,73402
