1784640,29221.5,29246.25,29133.0,29147.25
1784640,29147.0,29226.0,29138.0,29191.0
1784641,29189.75,29193.25,29129.5,29144.5
1784641,29144.5,29153.5,29095.5,29143.25
1784641,29143.0,29178.0,29118.25,29140.5
1784642,29142.25,29163.75,29092.5,29153.25
1784642,29152.75,29188.5,29087.25,29113.25
1784642,29113.0,29138.5,29073.5,29080.0
1784643,29080.25,29137.25,29064.25,29131.5
1784643,29129.5,29162.5,29067.0,29157.0
1784643,29157.0,29173.0,29112.5,29147.75
1784643,29148.0,29218.25,29141.0,29207.25
1784644,29207.25,29230.0,29202.0,29218.5
1784644,29218.5,29236.0,29185.5,29202.75
1784644,29203.75,29225.75,29162.0,29224.5
1784645,29224.75,29256.5,29212.25,29227.5
1784645,29227.75,29236.0,29209.75,29230.25
1784645,29230.0,29242.0,29211.5,29237.5
1784646,29237.25,29245.25,29191.0,29199.25
1784646,29198.75,29282.0,29181.0,29273.5
1784646,29274.25,29297.5,29269.25,29291.75
1784646,29292.0,29298.25,29280.0,29284.25
1784647,29283.75,29310.25,29271.75,29301.0
1784647,29300.25,29320.0,29297.0,29308.0
1784647,29307.5,29308.5,29268.25,29296.5
1784648,29296.5,29306.25,29274.75,29276.25
1784648,29275.25,29283.5,29257.0,29261.5
1784648,29260.5,29292.0,29258.5,29289.0
1784649,29288.5,29301.25,29273.5,29275.5
1784649,29275.75,29284.0,29256.25,29259.25
1784649,29259.25,29304.25,29254.25,29302.5
1784649,29302.5,29324.75,29298.5,29309.0
1784650,29309.5,29314.25,29296.0,29301.75
1784650,29302.0,29319.75,29301.25,29315.5
1784650,29315.0,29337.75,29313.0,29326.0
1784651,29325.5,29330.25,29304.75,29312.5
1784651,29313.0,29325.25,29302.0,29314.5
1784651,29314.0,29331.5,29308.25,29330.75
1784652,29330.25,29336.0,29312.25,29318.75
1784652,29318.5,29328.5,29311.25,29323.5
1784652,29323.25,29347.75,29322.0,29347.5
1784652,29347.0,29352.5,29330.75,29331.75
1784653,29331.5,29350.25,29330.75,29348.75
1784653,29349.0,29355.5,29343.75,29347.0
1784653,29347.0,29350.25,29333.0,29334.75
1784654,29335.0,29345.75,29328.5,29330.5
1784654,29330.25,29340.5,29325.0,29328.75
1784654,29329.25,29336.0,29323.0,29333.0
1784655,29333.25,29351.5,29327.25,29337.5
1784655,29336.5,29350.75,29332.5,29346.5
1784655,29347.0,29347.5,29334.0,29341.5
1784655,29341.75,29357.75,29333.25,29357.0
1784656,29357.25,29364.75,29342.75,29344.0
1784656,29344.25,29347.75,29332.25,29341.25
1784656,29341.5,29355.75,29338.25,29344.0
1784657,29342.75,29361.75,29341.5,29350.75
1784657,29350.25,29353.0,29337.5,29337.75
1784657,29338.0,29342.75,29334.25,29339.25
1784658,29339.5,29344.75,29330.25,29340.0
1784658,29339.5,29340.5,29318.5,29325.0
1784658,29325.25,29329.25,29310.5,29316.25
1784658,29316.25,29335.75,29316.0,29327.0
1784659,29327.25,29349.0,29319.25,29347.25
1784659,29347.75,29355.75,29333.75,29339.75
1784659,29339.5,29342.25,29323.5,29324.0
1784660,29323.25,29333.25,29316.75,29328.5
1784660,29328.25,29335.5,29311.5,29318.5
1784660,29317.75,29327.25,29305.25,29310.25
1784661,29311.0,29319.75,29304.25,29309.25
1784661,29308.5,29320.5,29305.0,29317.0
1784661,29316.75,29320.0,29306.75,29310.5
1784661,29310.25,29313.0,29290.75,29293.75
1784662,29293.25,29311.0,29290.75,29305.75
1784662,29305.75,29331.5,29304.5,29324.75
1784662,29325.0,29340.5,29320.5,29337.75
1784663,29337.75,29343.25,29325.25,29339.5
1784663,29339.25,29352.0,29314.75,29338.5
1784663,29337.75,29348.0,29300.25,29312.0
1784664,29311.75,29316.75,29285.25,29291.5
1784664,29291.25,29305.5,29289.25,29303.75
1784664,29303.0,29309.0,29292.5,29306.5
1784664,29306.0,29306.0,29283.75,29289.75
1784665,29290.5,29292.25,29286.75,29289.0
1784665,29289.25,29294.25,29287.25,29292.5
1784665,29292.5,29301.75,29292.5,29299.5
1784666,29299.0,29304.25,29295.25,29300.0
1784666,29299.5,29300.5,29290.0,29292.5
1784666,29293.25,29294.5,29279.0,29283.0
1784667,29283.25,29289.25,29280.25,29285.0
1784667,29284.75,29290.5,29280.0,29289.75
1784671,29310.75,29310.75,29285.0,29293.0
1784671,29293.0,29296.25,29280.5,29289.0
1784671,29285.75,29298.25,29283.0,29296.5
1784672,29297.0,29302.25,29293.25,29296.5
1784672,29299.0,29302.25,29273.75,29274.0
1784672,29274.0,29281.75,29265.0,29271.0
1784673,29270.0,29279.5,29257.25,29278.0
1784673,29276.75,29284.0,29272.75,29276.5
1784673,29275.5,29280.75,29268.25,29270.25
1784673,29269.25,29269.25,29253.0,29258.0
1784674,29259.5,29265.0,29256.0,29264.75
1784674,29264.75,29276.0,29258.0,29273.75
1784674,29273.5,29275.5,29261.0,29272.5
1784675,29270.5,29272.0,29263.25,29270.5
1784675,29271.5,29289.25,29268.5,29281.75
1784675,29283.0,29304.75,29272.0,29301.25
1784676,29300.5,29300.5,29283.75,29286.75
1784676,29286.75,29299.75,29285.5,29297.25
1784676,29296.25,29304.5,29291.5,29296.25
1784676,29295.5,29296.25,29282.5,29285.75
1784677,29287.0,29289.25,29270.25,29281.5
1784677,29279.5,29294.0,29275.75,29292.0
1784677,29292.0,29302.0,29268.0,29280.0
