utc_submitted,job_tag,job_id,schema,symbols,start,end,split,est_usd,billed_usd,state,notes
2026-09-24,pre-existing,XNAS-20260924-WS98GB4LBQ,trades,(XNAS sample),2022-06-10T12:30,,,,0.0000,done,"found on the account, not submitted by this project; billed $0"
2026-09-24,pre-existing,XNAS-20260924-U54J9WFRSU,ohlcv-1m,(XNAS sample),2022-06-10T12:30,,,,0.0000,done,"found on the account, not submitted by this project; billed $0"
2026-09-24,pre-existing,XNAS-20260924-QCMUDCAPWT,mbo,(XNAS sample),2022-06-10T12:30,,,,0.0000,done,"found on the account, not submitted by this project; billed $0"
2026-09-25T04:43:34,A,GLBX-20260925-TG5L36DXE8,ohlcv-1m,"NQ.v.0,ES.v.0",2010-06-06,2026-09-24T20:30:00Z,month,40.9756,40.9756,done,
2026-09-25T04:43:38,B1,GLBX-20260925-EHBSX3YUM4,trades,NQ.v.0,2026-03-01T23:00:00Z,2026-05-29T21:00:00Z,day,31.1119,31.1119,done,
2026-09-25T04:43:39,B2,GLBX-20260925-6L6QXSL8XJ,trades,NQ.v.0,2026-08-20T22:00:00Z,2026-09-24T20:30:00Z,day,10.4055,10.4055,done,
2026-09-25T04:43:42,B3-06-24,GLBX-20260925-DWVPV9GCE7,trades,NQ.v.0,2026-06-24T13:30:00Z,2026-06-24T20:00:00Z,day,0.4361,0.4361,done,
2026-09-25T04:43:43,B3-07-09,GLBX-20260925-W3UFFVW4UV,trades,NQ.v.0,2026-07-09T13:30:00Z,2026-07-09T20:00:00Z,day,0.2884,0.2884,done,
2026-09-25T04:57:51,B3-07-29,GLBX-20260925-FYSDEXSP4Q,trades,NQ.v.0,2026-07-29T13:30:00Z,2026-07-29T20:00:00Z,day,0.5572,0.5572,queued,
